,year,state,special,candidateCount,totalVotes,winnerName,winnerParty,winnerVotes,winnerPct,winnerVAll,secondPlaceName,SecondPlaceParty,secondPlaceVotes,secondPlacePct,winnerVSecond,incumbentWinner,incumbentSecond
525,1992,NORTH CAROLINA,FALSE,5,2577891,LAUCH FAIRCLOTH,REPUBLICAN,1297892,0.503470473,0.694094514,TERRY SANFORD,DEMOCRAT,1194015,0.46317513,4.02953422,FALSE,TRUE
526,1996,NORTH CAROLINA,FALSE,5,2556456,JESSE HELMS,REPUBLICAN,1345833,0.526444813,5.288962533,HARVEY B. GANTT,DEMOCRAT,1173875,0.4591806,6.726421264,TRUE,FALSE
527,1998,NORTH CAROLINA,FALSE,3,2012143,JOHN EDWARDS,DEMOCRAT,1029237,0.51151285,2.302569947,LAUCH FAIRCLOTH,REPUBLICAN,945943,0.470117184,4.139566621,FALSE,TRUE
528,2002,NORTH CAROLINA,FALSE,4,2331181,ELIZABETH H. DOLE,REPUBLICAN,1248664,0.5356358,7.12716001,ERSKINE B. BOWLES,DEMOCRAT,1047983,0.449550249,8.608555063,FALSE,FALSE
529,2004,NORTH CAROLINA,FALSE,4,3472082,RICHARD BURR,REPUBLICAN,1791450,0.515958436,3.191687293,ERSKINE BOWLES,DEMOCRAT,1632527,0.470186764,4.577167244,FALSE,FALSE
530,2008,NORTH CAROLINA,FALSE,4,4271970,KAY HAGAN,DEMOCRAT,2249311,0.526527808,5.305561603,ELIZABETH DOLE,REPUBLICAN,1887510,0.441835968,8.469184006,FALSE,FALSE
531,2010,NORTH CAROLINA,FALSE,4,2660079,RICHARD BURR,REPUBLICAN,1458046,0.548121315,9.624263039,ELAINE MARSHALL,DEMOCRAT,1145074,0.430466163,11.76551523,TRUE,FALSE
532,2014,NORTH CAROLINA,FALSE,7,2915281,THOM TILLIS,REPUBLICAN,1423259,0.488206454,-2.35870916,KAY R. HAGAN,DEMOCRAT,1377651,0.472561993,1.564446103,FALSE,FALSE
533,2016,NORTH CAROLINA,FALSE,3,4691133,RICHARD BURR,REPUBLICAN,2395376,0.510617797,2.12355949,DEBORAH K. ROSS,DEMOCRAT,2128165,0.453656931,5.696086638,TRUE,FALSE
534,2020,NORTH CAROLINA,FALSE,4,5474952,THOM TILLIS,REPUBLICAN,2665598,0.486871483,-2.625703385,CAL CUNNINGHAM,DEMOCRAT,2569965,0.469404115,1.746736775,TRUE,FALSE
535,2022,NORTH CAROLINA,FALSE,3,0.99,TED BUDD,REPUBLICAN,0.51,0.515151515,3.03030303,CHERI BEASLEY,DEMOCRAT,0.47,0.474747475,4.04040404,FALSE,FALSE
536,1976,NORTH DAKOTA,FALSE,3,283062,QUENTIN N. BURDICK,DEMOCRAT,175772,0.620966431,24.19328628,ROBERT STROUP,REPUBLICAN,103466,0.365524161,25.54422706,FALSE,FALSE
537,1982,NORTH DAKOTA,FALSE,3,262465,QUENTIN N. BURDICK,DEMOCRAT,164873,0.628171375,25.63427505,GENE KNORR,REPUBLICAN,89304,0.340251081,28.79202941,TRUE,FALSE
538,1986,NORTH DAKOTA,FALSE,3,289013,KENT CONRAD,DEMOCRAT,143932,0.4980122,-0.397559971,MARK ANDREWS,REPUBLICAN,141812,0.49067689,0.733531018,FALSE,FALSE
539,1988,NORTH DAKOTA,FALSE,3,289170,QUENTIN N. BURDICK,DEMOCRAT,171899,0.594456548,18.89130961,EARL STRINDEN,REPUBLICAN,112937,0.390555728,20.39008196,TRUE,FALSE
540,1992,NORTH DAKOTA,FALSE,3,303957,BYRON L. DORGAN,DEMOCRAT,179347,0.590040697,18.00813931,STEVE SYDNESS,REPUBLICAN,118162,0.388745777,20.129492,FALSE,FALSE
541,1994,NORTH DAKOTA,FALSE,2,236547,KENT CONRAD,DEMOCRAT,137157,0.579829801,15.96596025,BEN CLAYBURGH,REPUBLICAN,99390,0.420170199,15.96596025,TRUE,FALSE
542,1998,NORTH DAKOTA,FALSE,3,213358,BYRON L. DORGAN,DEMOCRAT,134747,0.631553539,26.31070782,DONNA NALEWAJA,REPUBLICAN,75013,0.351582786,27.99707534,TRUE,FALSE
543,2000,NORTH DAKOTA,FALSE,2,287539,KENT CONRAD,DEMOCRAT,176470,0.613725442,22.74508849,DUANE SAND,REPUBLICAN,111069,0.386274558,22.74508849,TRUE,FALSE
544,2004,NORTH DAKOTA,FALSE,2,310696,BYRON L. DORGAN,DEMOCRAT,212143,0.682799264,36.55985272,MIKE LIFFRIG,REPUBLICAN,98553,0.317200736,36.55985272,TRUE,FALSE
545,2006,NORTH DAKOTA,FALSE,4,218152,KENT CONRAD,DEMOCRAT,150146,0.688263229,37.65264586,DWIGHT GROTBERG,REPUBLICAN,64417,0.295284939,39.29782904,TRUE,FALSE
546,2010,NORTH DAKOTA,FALSE,3,238534,JOHN HOEVEN,REPUBLICAN,181689,0.761690157,52.33803148,TRACY POTTER,DEMOCRAT,52955,0.222001895,53.96882625,FALSE,FALSE
547,2012,NORTH DAKOTA,FALSE,3,321144,HEIDI HEITKAMP,DEMOCRAT,161337,0.502382109,0.476421792,RICK BERG,REPUBLICAN,158401,0.493239793,0.914231622,FALSE,FALSE
548,2016,NORTH DAKOTA,FALSE,5,342501,JOHN HOEVEN,REPUBLICAN,268788,0.78478019,56.95603808,ELIOT GLASSHEIM,DEMOCRAT,58116,0.169681256,61.5098934,TRUE,FALSE
549,2018,NORTH DAKOTA,FALSE,3,326138,KEVIN CRAMER,REPUBLICAN,179720,0.551055075,10.21101497,HEIDI HEITKAMP,DEMOCRAT,144376,0.442683772,10.83713029,FALSE,TRUE
550,2022,NORTH DAKOTA,FALSE,3,1,JOHN HOEVEN,REPUBLICAN,0.56,0.56,12,KATRINA CHRISTIANSEN,DEMOCRAT,0.25,0.25,31,TRUE,FALSE
551,1976,OHIO,FALSE,6,3920613,HOWARD M. METZENBAUM,DEMOCRAT,1941113,0.495104465,-0.979107094,"ROBERT TAFT, JR.",REPUBLICAN,1823774,0.465175726,2.992873818,FALSE,FALSE
552,1980,OHIO,FALSE,4,4027303,JOHN GLENN,DEMOCRAT,2770786,0.688000381,37.60007628,JAMES E. BETTS,REPUBLICAN,1137695,0.282495506,40.55048751,FALSE,FALSE
553,1982,OHIO,FALSE,4,3395463,HOWARD M. METZENBAUM,DEMOCRAT,1923767,0.566569861,13.3139722,PAUL E. PFEIFER,REPUBLICAN,1396790,0.411369525,15.52003364,TRUE,FALSE
554,1986,OHIO,FALSE,3,3121189,JOHN GLENN,DEMOCRAT,1949208,0.62450816,24.90163204,THOMAS N. KINDNESS,REPUBLICAN,1171893,0.375463645,24.90445148,TRUE,FALSE
555,1988,OHIO,FALSE,3,4352905,HOWARD M. METZENBAUM,DEMOCRAT,2480038,0.569743194,13.9486389,GEORGE V VOINOVICH,REPUBLICAN,1872716,0.430222116,13.95210785,TRUE,FALSE
556,1992,OHIO,FALSE,3,4793953,JOHN GLENN,DEMOCRAT,2444419,0.509896321,1.979264294,MICHAEL DEWINE,REPUBLICAN,2028300,0.423095512,8.680080927,TRUE,FALSE
557,1994,OHIO,FALSE,4,3436884,MIKE DEWINE,REPUBLICAN,1836556,0.534366595,6.873318971,JOEL HYATT,DEMOCRAT,1348213,0.392277714,14.20888805,FALSE,FALSE
558,1998,OHIO,FALSE,3,3404351,GEORGE V. VOINOVICH,REPUBLICAN,1922087,0.564597188,12.91943751,MARY O. BOYLE,DEMOCRAT,1482054,0.435341127,12.92560608,FALSE,FALSE
559,2000,OHIO,FALSE,5,4448801,MIKE DEWINE,REPUBLICAN,2665512,0.599152895,19.83057907,TED CELESTE,DEMOCRAT,1595066,0.358538402,24.06144937,TRUE,FALSE
560,2004,OHIO,FALSE,3,5425823,GEORGE V. VOINOVICH,REPUBLICAN,3464356,0.638494105,27.69882099,ERIC D. FINGERHUT,DEMOCRAT,1961171,0.361451341,27.70427638,TRUE,FALSE
561,2006,OHIO,FALSE,3,4019236,SHERROD BROWN,DEMOCRAT,2257369,0.561641317,12.32826338,MIKE DEWINE,REPUBLICAN,1761037,0.438152176,12.34891407,FALSE,TRUE
562,2010,OHIO,FALSE,6,3815098,ROB PORTMAN,REPUBLICAN,2168742,0.568462986,13.69259715,LEE FISHER,DEMOCRAT,1503297,0.394038895,17.44240908,FALSE,FALSE
563,2012,OHIO,FALSE,3,5449018,SHERROD BROWN,DEMOCRAT,2762690,0.507006951,1.401390122,JOSH MANDEL,REPUBLICAN,2435712,0.447000175,6.000677553,TRUE,FALSE
564,2016,OHIO,FALSE,6,5374164,ROB PORTMAN,REPUBLICAN,3118567,0.580288767,16.05775335,TED STRICKLAND,DEMOCRAT,1996908,0.37157556,20.87132064,TRUE,FALSE
565,2018,OHIO,FALSE,3,4410898,SHERROD BROWN,DEMOCRAT,2355923,0.534114142,6.822828367,JIM RENACCI,REPUBLICAN,2053963,0.465656426,6.845771541,TRUE,FALSE
566,2022,OHIO,FALSE,3,1,JD VANCE,REPUBLICAN,0.53,0.53,6,TIM RYAN,DEMOCRAT,0.47,0.47,6,FALSE,FALSE
567,1978,OKLAHOMA,FALSE,6,754264,DAVID LYLE BOREN,DEMOCRAT,493953,0.654880784,30.97615689,ROBERT B. KAMM,REPUBLICAN,247857,0.328607755,32.62730291,FALSE,FALSE
568,1980,OKLAHOMA,FALSE,5,1098294,DON NICKLES,REPUBLICAN,587252,0.534694717,6.938943489,ANDY COATS,DEMOCRAT,478283,0.435478114,9.92166032,FALSE,FALSE
569,1984,OKLAHOMA,FALSE,3,1197937,DAVID BOREN,DEMOCRAT,906131,0.756409561,51.28191215,WILL E. BILL CROZIER,REPUBLICAN,280638,0.234267745,52.21418155,FALSE,FALSE
570,1986,OKLAHOMA,FALSE,2,893666,DON NICKLES,REPUBLICAN,493436,0.552148118,10.4296236,JAMES R. JONES,DEMOCRAT,400230,0.447851882,10.4296236,TRUE,FALSE
571,1990,OKLAHOMA,FALSE,2,884498,DAVID L. BOREN,DEMOCRAT,735684,0.831753153,66.35063053,STEPHEN JONES,REPUBLICAN,148814,0.168246847,66.35063053,FALSE,FALSE
572,1992,OKLAHOMA,FALSE,4,1294423,DON NICKLES,REPUBLICAN,757876,0.585493305,17.09866095,STEVE LEWIS,DEMOCRAT,494350,0.381907614,20.35856903,TRUE,FALSE
573,1994,OKLAHOMA,TRUE,3,982430,JAMES M. INHOFE,REPUBLICAN,542390,0.552090225,10.41804505,DAVE MCCURDY,DEMOCRAT,392488,0.399507344,15.25828812,FALSE,FALSE
574,1996,OKLAHOMA,FALSE,5,1183150,JAMES M. INHOFE,REPUBLICAN,670610,0.56680049,13.36009804,JIM BOREN,DEMOCRAT,474162,0.400762372,16.60381186,TRUE,FALSE
575,1998,OKLAHOMA,FALSE,4,859713,DON NICKLES,REPUBLICAN,570682,0.663805247,32.76104933,DON E. CARROLL,DEMOCRAT,268898,0.312776473,35.10287736,TRUE,FALSE
576,2002,OKLAHOMA,FALSE,3,1018424,JAMES M. INHOFE,REPUBLICAN,583579,0.573021649,14.60432983,DAVID WALTERS,DEMOCRAT,369789,0.363099259,20.99223899,TRUE,FALSE
577,2004,OKLAHOMA,FALSE,3,1446846,TOM COBURN,REPUBLICAN,763433,0.527653254,5.530650809,BRAD CARSON,DEMOCRAT,596750,0.412448872,11.52043825,FALSE,FALSE
578,2008,OKLAHOMA,FALSE,3,1346819,JAMES M. INHOFE,REPUBLICAN,763375,0.566798508,13.35970164,ANDREW RICE,DEMOCRAT,527736,0.391838844,17.49596642,TRUE,FALSE
579,2010,OKLAHOMA,FALSE,4,1017151,THOMAS A. COBURN,REPUBLICAN,718482,0.706367098,41.27341958,JIM ROGERS,DEMOCRAT,265814,0.261331897,44.50352013,FALSE,FALSE
580,2014,OKLAHOMA,FALSE,5,820733,JAMES M. INHOFE,REPUBLICAN,558166,0.680082317,36.01646333,MATT SILVERSTEIN,DEMOCRAT,234307,0.285485048,39.45972685,TRUE,FALSE
581,2014,OKLAHOMA,TRUE,3,820890,JAMES LANKFORD,REPUBLICAN,557002,0.678534274,35.70685476,CONNIE JOHNSON,DEMOCRAT,237923,0.289835423,38.86988512,FALSE,FALSE
582,2016,OKLAHOMA,FALSE,5,1448047,JAMES LANKFORD,REPUBLICAN,980892,0.677389615,35.47792302,MIKE WORKMAN,DEMOCRAT,355911,0.245786912,43.16027035,TRUE,FALSE
583,2020,OKLAHOMA,FALSE,5,1556361,JIM INHOFE ,REPUBLICAN,979140,0.629121393,25.82427856,ABBY BROYLES,DEMOCRAT,509763,0.327535193,30.15862001,FALSE,FALSE
584,2022,OKLAHOMA,FALSE,3,0.98,JAMES LANKFORD,REPUBLICAN,0.64,0.653061224,30.6122449,MADISON HORN,DEMOCRAT,0.32,0.326530612,32.65306122,TRUE,FALSE
585,2022,OKLAHOMA - SPECIAL,FALSE,3,0.99,MARKWAYNE MULLIN,REPUBLICAN,0.62,0.626262626,25.25252525,KENDRA HORN,DEMOCRAT,0.35,0.353535354,27.27272727,FALSE,FALSE
586,1978,OREGON,FALSE,3,892518,MARK HATFIELD,REPUBLICAN,550165,0.616418941,23.28378811,VERN COOK,DEMOCRAT,341616,0.382755306,23.36636348,FALSE,FALSE
587,1980,OREGON,FALSE,4,1140494,BOB PACKWOOD,REPUBLICAN,594290,0.521081216,4.216243137,TED KULONGOSKI,DEMOCRAT,501963,0.440127699,8.095351663,FALSE,FALSE
588,1984,OREGON,FALSE,3,1214735,MARK O. HATFIELD,REPUBLICAN,808152,0.665290784,33.05815672,MARGIE HENDRIKSEN,DEMOCRAT,406122,0.33432971,33.09610738,FALSE,FALSE
589,1986,OREGON,FALSE,3,1042555,BOB PACKWOOD,REPUBLICAN,656317,0.629527459,25.9054918,RICK BAUMAN,DEMOCRAT,375735,0.360398252,26.91292066,TRUE,FALSE
590,1990,OREGON,FALSE,3,1099255,MARK O. HATFIELD,REPUBLICAN,590095,0.536813569,7.362713838,HARRY LONSDALE,DEMOCRAT,507743,0.461897376,7.491619324,TRUE,FALSE
591,1992,OREGON,FALSE,4,1376033,BOB PACKWOOD,REPUBLICAN,717455,0.521393746,4.278749129,LES AUCOIN,DEMOCRAT,639851,0.464996842,5.639690327,TRUE,FALSE
592,1996,OREGON,FALSE,8,1360230,GORDON SMITH,REPUBLICAN,677336,0.497956963,-0.408607368,TOM BRUGGERE,DEMOCRAT,624370,0.45901796,3.893900296,FALSE,FALSE
593,1998,OREGON,FALSE,7,1117747,RON WYDEN,DEMOCRAT,682425,0.610536195,22.10723894,JOHN LIM,REPUBLICAN,377739,0.33794678,27.25894142,FALSE,FALSE
594,2002,OREGON,FALSE,5,1267221,GORDON SMITH,REPUBLICAN,712287,0.562085856,12.41717112,BILL BRADBURY,DEMOCRAT,501898,0.396061934,16.60239216,TRUE,FALSE
595,2004,OREGON,FALSE,6,1780550,RON WYDEN,DEMOCRAT,1128728,0.633920979,26.78419589,AL KING,REPUBLICAN,565254,0.317460335,31.64606442,TRUE,FALSE
596,2008,OREGON,FALSE,4,1767504,JEFF MERKLEY,DEMOCRAT,864392,0.489046701,-2.190659823,GORDON H. SMITH,REPUBLICAN,805159,0.455534471,3.351222968,FALSE,FALSE
597,2010,OREGON,FALSE,6,1442588,RON WYDEN,DEMOCRAT,825507,0.572240307,14.4480614,JIM HUFFMAN,REPUBLICAN,566199,0.392488361,17.97519458,TRUE,FALSE
598,2014,OREGON,FALSE,6,1461618,JEFF MERKLEY,DEMOCRAT,814537,0.557284461,11.45689229,MONICA WEHBY,REPUBLICAN,538847,0.368664726,18.86197351,TRUE,FALSE
599,2016,OREGON,FALSE,7,1952478,RON WYDEN,DEMOCRAT,1105119,0.566008426,13.20168524,MARK CALLAHAN,REPUBLICAN,651106,0.333476741,23.25316854,TRUE,FALSE
600,2020,OREGON,FALSE,5,2321249,JEFF MERKLEY,DEMOCRAT,1321047,0.569110423,13.82208458,JO RAE PERKINS,REPUBLICAN,912814,0.393242603,17.58678194,TRUE,FALSE
601,2022,OREGON,FALSE,3,0.99,RON WYDEN,DEMOCRAT,0.56,0.565656566,13.13131313,JO RAE PERKINS,REPUBLICAN,0.41,0.414141414,15.15151515,TRUE,FALSE
602,1976,PENNSYLVANIA,FALSE,7,4546353,H. JOHN HEINZ III,REPUBLICAN,2381891,0.523912463,4.782492692,WILLIAM J. GREEN,DEMOCRAT,2126977,0.467842466,5.60699972,FALSE,FALSE
603,1980,PENNSYLVANIA,FALSE,6,4418042,ARLEN SPECTER,REPUBLICAN,2230404,0.504839927,0.967985365,PETE FLAHERTY,DEMOCRAT,2122391,0.480391766,2.444816052,FALSE,FALSE
604,1982,PENNSYLVANIA,FALSE,5,3604108,JOHN HEINZ,REPUBLICAN,2136418,0.592773025,18.55460491,CYRIL H. WECHT,DEMOCRAT,1412965,0.392042913,20.07301113,FALSE,FALSE
605,1986,PENNSYLVANIA,FALSE,3,3378226,ARLEN SPECTER,REPUBLICAN,1906537,0.564360407,12.87208138,BOB EDGAR,DEMOCRAT,1448219,0.42869216,13.56682472,TRUE,FALSE
606,1988,PENNSYLVANIA,FALSE,6,4366598,JOHN HEINZ,REPUBLICAN,2901715,0.664525335,32.90506706,JOE VIGNOLA,DEMOCRAT,1416764,0.324454873,34.00704622,TRUE,FALSE
607,1992,PENNSYLVANIA,FALSE,3,4802410,ARLEN SPECTER,REPUBLICAN,2358125,0.491029504,-1.794099213,LYNN YEAKEL,DEMOCRAT,2224966,0.463301967,2.77275368,TRUE,FALSE
608,1994,PENNSYLVANIA,FALSE,5,3513361,RICK SANTORUM,REPUBLICAN,1735691,0.494025806,-1.194838788,HARRIS WOFFORD,DEMOCRAT,1648481,0.469203421,2.482238517,FALSE,FALSE
609,1998,PENNSYLVANIA,FALSE,4,2957499,ARLEN SPECTER,REPUBLICAN,1814180,0.613416945,22.6833889,BILL LLOYD,DEMOCRAT,1028839,0.347874674,26.55422707,TRUE,FALSE
610,2000,PENNSYLVANIA,FALSE,5,4735116,RICK SANTORUM,REPUBLICAN,2481962,0.52416076,4.832151947,RON KLINK,DEMOCRAT,2154908,0.455090857,6.906990241,TRUE,FALSE
611,2004,PENNSYLVANIA,FALSE,5,5559105,ARLEN SPECTER,REPUBLICAN,2925080,0.526178225,5.235644946,JOSEPH M. HOEFFEL,DEMOCRAT,2334126,0.419874422,10.63038025,TRUE,FALSE
612,2006,PENNSYLVANIA,FALSE,3,4081043,"BOB CASEY, JR.",DEMOCRAT,2392984,0.586365789,17.27315787,RICK SANTORUM,REPUBLICAN,1684778,0.41283025,17.35355398,FALSE,TRUE
613,2010,PENNSYLVANIA,FALSE,2,3977661,PAT TOOMEY,REPUBLICAN,2028945,0.510084947,2.016989381,JOE SESTAK,DEMOCRAT,1948716,0.489915053,2.016989381,FALSE,FALSE
614,2012,PENNSYLVANIA,FALSE,3,5627422,"ROBERT P. CASEY, JR.",DEMOCRAT,3021364,0.5369002,7.380040097,TOM SMITH,REPUBLICAN,2509132,0.445875927,9.102427364,FALSE,FALSE
615,2016,PENNSYLVANIA,FALSE,3,6051856,PATRICK J. TOOMEY,REPUBLICAN,2951702,0.487735002,-2.452999543,KATIE MCGINTY,DEMOCRAT,2865012,0.473410471,1.432453119,FALSE,FALSE
616,2018,PENNSYLVANIA,FALSE,4,4994643,ROBERT P CASEY JR,DEMOCRAT,2777680,0.55613184,11.22636793,LOUIS J. BARLETTA,REPUBLICAN,2134848,0.427427546,12.87042938,FALSE,FALSE
617,2022,PENNSYLVANIA,FALSE,3,0.99,JOHN FETTERMAN,DEMOCRAT,0.51,0.515151515,3.03030303,MEHMET OZ,REPUBLICAN,0.47,0.474747475,4.04040404,FALSE,FALSE
618,1976,RHODE ISLAND,FALSE,3,398906,JOHN H. CHAFEE,REPUBLICAN,230329,0.577401694,15.48033873,RICHARD P. LORBER,DEMOCRAT,167665,0.420312053,15.70896402,FALSE,FALSE
619,1978,RHODE ISLAND,FALSE,2,305618,CLAIBORNE PELL,DEMOCRAT,229557,0.751123952,50.22479042,JAMES G. REYONLDS,REPUBLICAN,76061,0.248876048,50.22479042,FALSE,FALSE
620,1982,RHODE ISLAND,FALSE,2,342778,JOHN H. CHAFEE,REPUBLICAN,175495,0.511978598,2.395719679,JULIUS C. MICHAELSON,DEMOCRAT,167283,0.488021402,2.395719679,TRUE,FALSE
621,1984,RHODE ISLAND,FALSE,2,393356,CLAIBORNE DEB. PELL,DEMOCRAT,285811,0.726596264,45.31925279,BARBARA M. LEONARD,REPUBLICAN,107545,0.273403736,45.31925279,FALSE,FALSE
622,1988,RHODE ISLAND,FALSE,2,397990,JOHN H. CHAFFEE,REPUBLICAN,217273,0.545925777,9.185155406,RICHARD A. LICHT,DEMOCRAT,180717,0.454074223,9.185155406,FALSE,FALSE
623,1990,RHODE ISLAND,FALSE,3,364062,CLAIBORNE PELL,DEMOCRAT,225105,0.618315012,23.66300246,CLAUDINE SCHNEIDER,REPUBLICAN,138947,0.38165752,23.66574924,FALSE,FALSE
624,1994,RHODE ISLAND,FALSE,2,345388,JOHN H. CHAFEE,REPUBLICAN,222856,0.645233766,29.04675322,LINDA J. KUSHNER,DEMOCRAT,122532,0.354766234,29.04675322,FALSE,FALSE
625,1996,RHODE ISLAND,FALSE,3,364371,JACK REED,DEMOCRAT,230676,0.63308002,26.61600402,NANCY J. MAYER,REPUBLICAN,127368,0.34955581,28.35242102,FALSE,FALSE
626,2000,RHODE ISLAND,FALSE,4,391353,LINCOLN D. CHAFEE,REPUBLICAN,222588,0.568765284,13.7530567,ROBERT A. WEYGAND,DEMOCRAT,161023,0.411452065,15.73132185,FALSE,FALSE
627,2002,RHODE ISLAND,FALSE,2,323582,JACK REED,DEMOCRAT,253774,0.784264885,56.85297699,ROBERT G. TINGLE,REPUBLICAN,69808,0.215735115,56.85297699,TRUE,FALSE
628,2006,RHODE ISLAND,FALSE,2,384993,SHELDON WHITEHOUSE,DEMOCRAT,206043,0.535186354,7.037270808,LINCOLN CHAFEE,REPUBLICAN,178950,0.464813646,7.037270808,FALSE,FALSE
629,2008,RHODE ISLAND,FALSE,3,438812,JACK REED,DEMOCRAT,320644,0.730709279,46.14185574,ROBERT G. TINGLE,REPUBLICAN,116174,0.264746634,46.59626446,TRUE,FALSE
630,2012,RHODE ISLAND,FALSE,3,418189,SHELDON WHITEHOUSE,DEMOCRAT,271034,0.648113652,29.62273039,BENJAMIN BARRETT HINCKLEY III,REPUBLICAN,146222,0.349655299,29.84583526,TRUE,FALSE
631,2014,RHODE ISLAND,FALSE,3,316898,JACK REED,DEMOCRAT,223675,0.70582648,41.16529609,MARK S. ZACCARIA,REPUBLICAN,92684,0.292472657,41.33538236,TRUE,FALSE
632,2018,RHODE ISLAND,FALSE,3,376738,SHELDON WHITEHOUSE,DEMOCRAT,231477,0.614424348,22.88486959,"ROBERT G. FLANDERS, JR.",REPUBLICAN,144421,0.383345986,23.10783622,TRUE,FALSE
633,2020,RHODE ISLAND,FALSE,3,494262,JOHN F. REED,DEMOCRAT,328574,0.664776981,32.95539613,ALLEN R. WATERS,REPUBLICAN,164855,0.333537678,33.12393022,FALSE,FALSE
634,1978,SOUTH CAROLINA,FALSE,2,632063,STROM THURMOND,REPUBLICAN,351917,0.556775195,11.35503898,CHARLES D. RAVENEL,DEMOCRAT,280146,0.443224805,11.35503898,FALSE,FALSE
635,1980,SOUTH CAROLINA,FALSE,2,870500,ERNEST FRITZ HOLLINGS,DEMOCRAT,612554,0.703680643,40.73612866,MARSHALL MAYS,REPUBLICAN,257946,0.296319357,40.73612866,FALSE,FALSE
636,1984,SOUTH CAROLINA,FALSE,3,965130,STROM THURMOND,REPUBLICAN,644815,0.668112068,33.62241356,MELVIN PURVIS,DEMOCRAT,306982,0.318073213,35.00388549,TRUE,FALSE
637,1986,SOUTH CAROLINA,FALSE,5,737962,ERNEST FRITZ HOLLINGS,DEMOCRAT,465500,0.630791287,26.15825747,HENRY D. MCMASTER,REPUBLICAN,262886,0.356232435,27.45588526,TRUE,FALSE
638,1990,SOUTH CAROLINA,FALSE,5,750716,STROM THURMOND,REPUBLICAN,482032,0.642096345,28.41926907,BOB CUNNINGHAM,DEMOCRAT,244112,0.325172236,31.69241098,TRUE,FALSE
639,1992,SOUTH CAROLINA,FALSE,5,1180438,ERNEST F. HOLLINGS,DEMOCRAT,591030,0.500687033,0.137406624,TOMMY HARTNETT,REPUBLICAN,554175,0.469465571,3.122146186,FALSE,FALSE
640,1996,SOUTH CAROLINA,FALSE,5,1161231,STROM THURMOND,REPUBLICAN,619859,0.53379474,6.758948047,ELLIOT SPRINGS CLOSE,DEMOCRAT,510951,0.44000806,9.378667983,TRUE,FALSE
641,1998,SOUTH CAROLINA,FALSE,4,1069063,ERNEST F. HOLLINGS,DEMOCRAT,563377,0.526982039,5.396407882,BOB INGLIS,REPUBLICAN,488238,0.456697126,7.028491305,TRUE,FALSE
642,2002,SOUTH CAROLINA,FALSE,5,1102912,LINDSEY O. GRAHAM,REPUBLICAN,600010,0.544023458,8.80469158,ALEX SANDERS,DEMOCRAT,487359,0.441883849,10.21396086,FALSE,FALSE
643,2004,SOUTH CAROLINA,FALSE,8,1597221,JIM DEMINT,REPUBLICAN,857167,0.536661489,7.332297785,INEZ TENENBAUM,DEMOCRAT,704384,0.441005972,9.565551668,FALSE,FALSE
644,2008,SOUTH CAROLINA,FALSE,3,1871431,LINDSEY GRAHAM,REPUBLICAN,1076534,0.575246429,15.04928581,BOB CONLEY,DEMOCRAT,790621,0.422468688,15.27777407,FALSE,FALSE
645,2010,SOUTH CAROLINA,FALSE,4,1318794,JIM DEMINT,REPUBLICAN,810771,0.614782142,22.95642837,ALVIN M. GREENE,DEMOCRAT,364598,0.276463193,33.8318949,TRUE,FALSE
646,2014,SOUTH CAROLINA,FALSE,6,1240075,LINDSEY GRAHAM,REPUBLICAN,672941,0.542661533,8.532306514,BRAD HUTTO,DEMOCRAT,456726,0.368305143,17.43563897,TRUE,FALSE
647,2014,SOUTH CAROLINA,TRUE,4,1238982,TIM SCOTT,REPUBLICAN,757215,0.611159,22.23179998,JOYCE DICKERSON,DEMOCRAT,459583,0.370935978,24.02230218,FALSE,FALSE
648,2016,SOUTH CAROLINA,FALSE,8,2049893,TIM SCOTT,REPUBLICAN,1241609,0.605694541,21.13890823,THOMAS DIXON,DEMOCRAT,704540,0.343695988,26.19985531,TRUE,FALSE
649,2020,SOUTH CAROLINA,FALSE,4,2515104,LINDSEY GRAHAM,REPUBLICAN,1369137,0.544365959,8.873191725,JAIME HARRISON,DEMOCRAT,1110828,0.44166285,10.27031089,TRUE,FALSE
650,2022,SOUTH CAROLINA,FALSE,3,1,TIM SCOTT,REPUBLICAN,0.63,0.63,26,KRYSTLE MATTHEWS,DEMOCRAT,0.37,0.37,26,TRUE,FALSE
651,1978,SOUTH DAKOTA,FALSE,2,255599,LARRY PRESSLER,REPUBLICAN,170832,0.668359422,33.67188448,DON BARNETT,DEMOCRAT,84767,0.331640578,33.67188448,FALSE,FALSE
652,1980,SOUTH DAKOTA,FALSE,3,327478,JAMES ABDNOR,REPUBLICAN,190594,0.582005509,16.40110175,GEORGE MCGOVERN,DEMOCRAT,129018,0.393974557,18.80309517,FALSE,FALSE
653,1984,SOUTH DAKOTA,FALSE,2,315713,LARRY PRESSLER,REPUBLICAN,235176,0.744904391,48.9808782,GEORGE V. CUNNINGHAM,DEMOCRAT,80537,0.255095609,48.9808782,TRUE,FALSE
654,1986,SOUTH DAKOTA,FALSE,2,295830,THOMAS A. DASCHLE,DEMOCRAT,152657,0.516029476,3.205895278,JAMES ABDNOR,REPUBLICAN,143173,0.483970524,3.205895278,FALSE,TRUE
655,1990,SOUTH DAKOTA,FALSE,3,258976,LARRY PRESSLER,REPUBLICAN,135682,0.523917274,4.783454838,TED MUENSTER,DEMOCRAT,116727,0.450725164,7.319211047,TRUE,FALSE
